PM1.0,PM2.5,PM10,D.3,D.5,D1.0,D2.5,D5.0,D10,T,H
92,117,124,14607,4489,587,27,9,4,19.50,49.60
92,117,124,14607,4489,587,27,9,4,19.50,49.60
91,114,121,14460,4451,566,23,8,3,19.50,49.60
91,115,122,14499,4458,572,27,8,3,19.50,49.70
91,116,123,14460,4456,583,32,8,3,19.50,49.60
90,114,122,14292,4384,573,35,8,3,19.50,49.60
89,113,121,14100,4333,549,40,8,3,19.50,49.70
87,112,117,13791,4248,540,33,5,3,19.40,49.60
86,111,116,13902,4274,540,30,4,2,19.50,49.50
84,109,113,13692,4223,523,27,3,2,19.50,49.60
85,109,113,13785,4245,518,31,3,2,19.50,49.70
85,107,110,13584,4177,493,26,2,1,19.50,49.50
85,108,111,13704,4201,502,26,3,1,19.50,49.60
87,109,111,13833,4252,502,22,2,0,19.50,49.60
87,108,112,13938,4269,491,20,5,0,19.50,49.50
87,108,112,13938,4269,491,20,5,0,19.50,49.70
87,108,112,13938,4269,491,20,5,0,19.50,49.60
87,109,112,14049,4327,503,22,5,0,19.50,49.60
88,110,113,14100,4350,532,17,6,0,19.50,49.60
87,109,112,14109,4336,522,17,6,0,19.50,49.60
89,111,114,14058,4341,541,18,7,0,19.50,49.50
88,110,115,14007,4312,533,23,10,0,19.50,49.40
87,108,114,13788,4254,525,23,12,0,19.50,49.60
86,108,115,13890,4286,516,24,12,0,19.50,49.60
86,109,116,13890,4305,516,26,12,0,19.50,49.50
85,107,115,13680,4237,510,26,13,1,19.50,49.60
85,108,115,13650,4247,519,28,13,1,19.50,49.50
85,108,116,13779,4271,519,24,13,1,19.50,49.60
86,108,116,13998,4319,507,24,13,2,19.50,49.60
88,111,120,14232,4399,511,29,16,2,19.50,49.60
88,111,120,14232,4399,511,29,16,2,19.50,49.60
88,111,120,14232,4399,511,29,16,2,19.50,49.60
88,110,121,14442,4462,496,31,16,3,19.50,49.60
88,110,121,14442,4462,496,31,16,3,19.50,49.60
88,110,121,14442,4462,496,31,16,3,19.50,49.60
90,113,123,14619,4511,516,29,14,3,19.50,49.50
90,113,123,14619,4511,516,29,14,3,19.50,49.50
90,113,123,14619,4511,516,29,14,3,19.50,49.60
91,113,121,14730,4533,510,25,11,3,19.50,49.50
90,112,120,14730,4533,510,25,11,3,19.50,49.60
90,112,120,14730,4533,510,25,11,3,19.50,49.60
91,114,121,14868,4584,515,25,11,3,19.50,49.60
92,115,122,14868,4584,515,25,11,3,19.50,49.50
92,115,122,14868,4584,515,25,11,3,19.50,49.70
93,115,124,14967,4593,523,25,13,4,19.50,49.60
92,114,123,14967,4593,523,25,13,4,19.50,49.50
92,114,123,14967,4593,523,25,13,4,19.50,49.50
91,114,122,14901,4574,525,27,12,3,19.50,49.50
91,114,122,14901,4574,525,27,12,3,19.50,49.50
91,114,122,14901,4574,525,27,12,3,19.50,49.60
91,114,120,14922,4568,518,23,9,3,19.50,49.50
91,114,120,14922,4568,518,23,9,3,19.50,49.60
92,115,121,14922,4568,518,23,9,3,19.50,49.50
91,113,121,14721,4493,504,27,12,4,19.50,49.60
91,113,121,14721,4493,504,27,12,4,19.50,49.50
90,112,120,14721,4493,504,27,12,4,19.50,49.60
89,112,121,14556,4444,523,32,14,4,19.50,49.50
89,112,121,14556,4444,523,32,14,4,19.50,49.50
89,112,121,14556,4444,523,32,14,4,19.50,49.50
88,110,118,14379,4388,521,29,11,4,19.50,49.50
88,110,118,14379,4388,521,29,11,4,19.50,49.60
89,111,119,14379,4388,521,29,11,4,19.50,49.50
87,110,119,14175,4315,528,32,13,3,19.50,49.50
87,110,119,14175,4315,528,32,13,3,19.60,49.60
87,110,119,14175,4315,528,32,13,3,19.50,49.60
85,106,115,13971,4257,511,30,12,3,19.50,49.40
85,106,115,13971,4257,511,30,12,3,19.50,49.50
85,106,115,13971,4257,511,30,12,3,19.50,49.50
86,108,117,14007,4283,522,29,12,3,19.50,49.40
84,108,118,13767,4200,539,34,13,3,19.60,49.40
84,107,115,13650,4171,533,31,10,2,19.50,49.50
84,107,116,13584,4171,533,31,11,3,19.60,49.50
84,107,117,13437,4128,542,36,14,3,19.50,49.50
83,106,115,13260,4099,534,32,11,2,19.50,49.40
83,105,112,13221,4080,512,29,8,1,19.50,49.50
84,107,114,13353,4121,520,29,9,2,19.50,49.40
84,107,112,13272,4100,518,26,7,2,19.50,49.50
84,107,112,13251,4092,517,28,7,2,19.50,49.50
83,106,112,13104,4048,510,29,8,2,19.50,49.40
84,107,113,13278,4107,512,28,8,2,19.60,49.50
83,107,115,13230,4079,513,34,11,2,19.50,49.40
83,107,115,13230,4079,513,34,11,2,19.50,49.50
83,107,115,13230,4079,513,34,11,2,19.60,49.50
82,105,113,13146,4024,503,32,10,1,19.50,49.30
82,105,113,13146,4024,503,32,10,1,19.50,49.30
82,105,113,13146,4024,503,32,10,1,19.50,49.50
81,104,109,13200,4041,492,29,8,1,19.50,49.40
81,103,110,13236,4034,495,29,9,1,19.60,49.40
81,102,109,13221,4036,488,27,9,1,19.50,49.40
80,102,107,12762,3898,463,27,8,0,19.60,49.40
79,100,105,12612,3852,451,25,7,0,19.50,49.40
80,100,106,12630,3872,461,23,8,0,19.50,49.30
79,99,104,12705,3897,464,22,7,0,19.50,49.30
79,99,103,12639,3878,466,22,6,0,19.50,49.30
80,99,102,12783,3938,466,16,3,0,19.50,49.30
82,102,106,13008,4022,497,21,4,0,19.50,49.20
81,101,105,12963,4000,491,21,3,0,19.60,49.30
81,100,104,12942,3988,479,21,2,0,19.50,49.30
81,100,104,12870,3976,488,21,2,0,19.50,49.30
82,101,105,12870,3976,488,21,2,0,19.50,49.30
82,101,105,12870,3976,488,21,2,0,19.50,49.30
83,101,105,12945,3993,490,19,2,0,19.50,49.30
84,103,107,13131,4060,495,21,2,0,19.50,49.40
84,103,108,13272,4093,491,23,2,0,19.50,49.30
83,103,109,13233,4063,498,29,3,1,19.50,49.30
82,101,108,13188,4052,476,25,4,2,19.60,49.40
82,101,110,13128,4026,483,33,7,2,19.60,49.30
82,100,108,13083,4007,449,30,7,3,19.50,49.30
81,100,108,13068,3995,455,28,8,3,19.50,49.30
82,101,109,13089,4026,457,28,8,3,19.50,49.40
82,100,110,13128,4031,443,32,9,3,19.50,49.30
83,102,112,13344,4107,453,31,9,3,19.60,49.30
84,103,114,13404,4124,463,33,12,3,19.50,49.30
84,104,114,13497,4142,463,30,11,3,19.60,49.30
83,103,113,13497,4142,463,30,11,3,19.60,49.30
83,103,113,13497,4142,463,30,11,3,19.60,49.30
83,103,110,13485,4128,455,27,10,2,19.60,49.30
84,104,111,13485,4128,455,27,10,2,19.60,49.40
84,104,111,13485,4128,455,27,10,2,19.50,49.20
84,104,112,13428,4104,448,32,10,1,19.50,49.30
84,104,112,13428,4104,448,32,10,1,19.50,49.30
83,103,111,13428,4104,448,32,10,1,19.60,49.40
85,103,109,13560,4157,433,27,7,1,19.60,49.30
84,104,109,13566,4155,453,27,6,0,19.50,49.40
86,106,110,13674,4192,450,26,5,0,19.60,49.30
88,107,111,13791,4230,460,26,5,0,19.50,49.50
88,108,112,13878,4257,472,22,4,0,19.50,49.30
88,110,113,14061,4310,480,25,4,0,19.60,49.40
88,109,111,14085,4300,472,23,1,0,19.60,49.40
87,109,112,13968,4272,476,26,1,0,19.50,49.30
89,111,113,14127,4326,477,28,2,0,19.60,49.30
89,111,113,14199,4360,497,22,1,0,19.50,49.20
88,112,115,14187,4350,517,24,2,1,19.50,49.40
87,111,113,14151,4345,515,21,2,1,19.50,49.40
86,111,113,14073,4328,525,22,2,1,19.60,49.30
86,111,113,14073,4328,525,22,2,1,19.60,49.40
87,112,114,14073,4328,525,22,2,1,19.60,49.40
87,110,114,14037,4300,520,24,5,1,19.50,49.40
87,110,114,14037,4300,520,24,5,1,19.60,49.20
87,110,114,14037,4300,520,24,5,1,19.60,49.20
87,111,115,14064,4312,537,28,6,1,19.60,49.30
86,111,116,13932,4266,534,33,6,1,19.60,49.30
86,110,117,13932,4261,539,33,9,1,19.60,49.40
86,110,117,13818,4245,558,33,10,2,19.60,49.40
85,109,117,13623,4211,560,31,10,2,19.50,49.30
85,108,116,13719,4233,548,31,10,2,19.60,49.30
84,106,114,13578,4185,533,27,9,1,19.50,49.30
84,106,115,13599,4195,545,28,10,2,19.50,49.20
85,106,114,13626,4209,540,27,10,2,19.60,49.30
85,108,114,13611,4213,550,27,7,2,19.60,49.20
85,106,113,13497,4176,529,23,7,3,19.60,49.30
85,106,112,13404,4144,527,15,7,3,19.60,49.30
84,105,110,13185,4075,527,15,5,3,19.60,49.30
84,105,110,13185,4075,527,15,5,3,19.50,49.30
84,105,110,13185,4075,527,15,5,3,19.60,49.30
83,101,105,13095,4036,504,12,4,2,19.60,49.30
83,101,105,13095,4036,504,12,4,2,19.60,49.30
83,101,105,13095,4036,504,12,4,2,19.60,49.20
83,101,105,13035,3989,495,12,3,2,19.60,49.20
83,101,105,13035,3989,495,12,3,2,19.60,49.20
83,101,105,13035,3989,495,12,3,2,19.60,49.10
82,100,104,12909,3941,504,15,3,2,19.60,49.20
82,100,104,12909,3941,504,15,3,2,19.60,49.20
82,100,104,12909,3941,504,15,3,2,19.60,49.20
80,98,102,12801,3900,499,15,4,3,19.60,49.10
80,98,102,12801,3900,499,15,4,3,19.60,49.10
80,98,102,12801,3900,499,15,4,3,19.60,49.10
80,98,101,12642,3846,484,17,4,2,19.60,49.10
80,98,101,12642,3846,484,17,4,2,19.60,49.00
80,98,101,12642,3846,484,17,4,2,19.60,49.10
79,97,101,12453,3780,467,22,5,2,19.60,49.10
79,97,101,12453,3780,467,22,5,2,19.60,49.10
79,97,101,12453,3780,467,22,5,2,19.60,49.10
